ide,Name
292,Ohio State University-Main Campus
293,Ohio State University-Mansfield Campus
294,Ohio State University-Marion Campus
295,Ohio State University-Newark Campus
296,Ohio University-Main Campus
297,Oklahoma Panhandle State University
298,Oklahoma State University Institute of Technology
299,Oklahoma State University-Main Campus
300,Oklahoma State University-Oklahoma City
301,Old Dominion University
302,Olympic College
303,Oregon Health & Science University
304,Oregon Institute of Technology
305,Oregon State University
306,Palm Beach State College
307,Peninsula College
308,Pennsylvania College of Technology
309,Pennsylvania State University-Main Campus
310,Pennsylvania State University-Penn State Abington
311,Pennsylvania State University-Penn State Altoona
312,Pennsylvania State University-Penn State Beaver
313,Pennsylvania State University-Penn State Berks
314,Pennsylvania State University-Penn State Brandywine
315,Pennsylvania State University-Penn State DuBois
316,Pennsylvania State University-Penn State Erie-Behrend College
317,Pennsylvania State University-Penn State Fayette- Eberly
318,Pennsylvania State University-Penn State Greater Allegheny
319,Pennsylvania State University-Penn State Harrisburg
320,Pennsylvania State University-Penn State Hazleton
321,Pennsylvania State University-Penn State Lehigh Valley
322,Pennsylvania State University-Penn State Mont Alto
323,Pennsylvania State University-Penn State New Kensington
324,Pennsylvania State University-Penn State Schuylkill
325,Pennsylvania State University-Penn State Shenango
326,Pennsylvania State University-Penn State Wilkes-Barre
327,Pennsylvania State University-Penn State Worthington Scranton
328,Pennsylvania State University-Penn State York
329,Pennsylvania State University-World Campus
330,Pensacola State College
331,Peru State College
332,Pittsburg State University
333,Plymouth State University
334,Polk State College
335,Portland State University
336,Potomac State College of West Virginia University
337,Prairie View A & M University
338,Puerto Rico Conservatory of Music
339,Purdue University-Calumet Campus
340,Purdue University-Main Campus
341,Purdue University-North Central Campus
342,Radford University
343,Ramapo College of New Jersey
344,Rhode Island College
345,Rogers State University
346,Rowan University
347,Rutgers University-Camden
348,Rutgers University-New Brunswick
349,Rutgers University-Newark
350,Saginaw Valley State University
351,Saint Cloud State University
352,Saint Johns River State College
353,Salem State University
354,Salisbury University
355,Sam Houston State University
356,San Diego State University
357,San Francisco State University
358,San Jose State University
